authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId.value,videoId,textDisplay,textOriginal,canRate,viewerRating,likeCount,publishedAt,updatedAt,moderationStatus,text
CycloneGaming,https://yt3.ggpht.com/-Wj3Vwka-Sbk/AAAAAAAAAAI/AAAAAAAAAAA/zIPyaCWNEIU/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCiZB4sn1yOwRACI1Oiufpsg,UCiZB4sn1yOwRACI1Oiufpsg,o_nfdzMhmrA,"Emoji Movie: Gene is odd one out emoji<br />Emoji Movie 2: Gene gets laid, &#39;Jailbreak&#39; tries to assassinate him<br />Emoji Movie 3: Gene is the new phone dictator, Smiler now the protagonist.<br />Emoji Movie 4: Alex gets laid<br />Emoji Movie 5: Who knows?","Emoji Movie: Gene is odd one out emoji
Emoji Movie 2: Gene gets laid, 'Jailbreak' tries to assassinate him
Emoji Movie 3: Gene is the new phone dictator, Smiler now the protagonist.
Emoji Movie 4: Alex gets laid
Emoji Movie 5: Who knows?",TRUE,none,0,2018-01-28T15:44:09.000Z,2018-01-28T15:44:09.000Z,NA,"Emoji Movie: Gene is odd one out emoji
Emoji Movie 2: Gene gets laid, 'Jailbreak' tries to assassinate him
Emoji Movie 3: Gene is the new phone dictator, Smiler now the protagonist.
Emoji Movie 4: Alex gets laid
Emoji Movie 5: Who knows?"
Samuel'sCrazyWorld,https://yt3.ggpht.com/-zi_r22EbOnE/AAAAAAAAAAI/AAAAAAAAAAA/NbXB1wjjYvc/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCVH3WkFuvZ3-xoA4W8gDWLA,UCVH3WkFuvZ3-xoA4W8gDWLA,o_nfdzMhmrA,Sad that all these talented animators wasted their time on this.,Sad that all these talented animators wasted their time on this.,TRUE,none,0,2018-01-28T05:07:37.000Z,2018-01-28T05:07:37.000Z,NA,Sad that all these talented animators wasted their time on this.
Tundra Snow Leopard,https://yt3.ggpht.com/-trRq5hdSlss/AAAAAAAAAAI/AAAAAAAAAAA/tqMRzuxK194/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCrSB_yZQO74ATA5eI0RfPJQ,UCrSB_yZQO74ATA5eI0RfPJQ,o_nfdzMhmrA,I just watched this movie and honestly it’s not bad.,I just watched this movie and honestly it’s not bad.,TRUE,none,0,2018-01-28T02:07:26.000Z,2018-01-28T02:07:26.000Z,NA,I just watched this movie and honestly it’s not bad.
spy main,https://yt3.ggpht.com/-U7_yP833rWY/AAAAAAAAAAI/AAAAAAAAAAA/AJA8hkbBjyo/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCO990rqicWqj7P9xL9y5-4A,UCO990rqicWqj7P9xL9y5-4A,o_nfdzMhmrA,First horseman of the apocalypse,First horseman of the apocalypse,TRUE,none,0,2018-01-28T00:46:23.000Z,2018-01-28T00:46:23.000Z,NA,First horseman of the apocalypse
Robert House,https://yt3.ggpht.com/-McungPRvQd0/AAAAAAAAAAI/AAAAAAAAAAA/aCGKxgp14Cw/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCP2u7Zg8sW_VHkcbvHZlX1g,UCP2u7Zg8sW_VHkcbvHZlX1g,o_nfdzMhmrA,No.,No.,TRUE,none,0,2018-01-27T09:33:18.000Z,2018-01-27T09:33:18.000Z,NA,No.
Lego Builder,https://yt3.ggpht.com/-QLe4l9dTDGk/AAAAAAAAAAI/AAAAAAAAAAA/RmStT07JQkE/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCk7yvSx8mT8PgrWdgilvBAw,UCk7yvSx8mT8PgrWdgilvBAw,o_nfdzMhmrA,tgis is terrible,tgis is terrible,TRUE,none,0,2018-01-27T09:18:59.000Z,2018-01-27T09:18:59.000Z,NA,tgis is terrible
Tristan Michels,https://yt3.ggpht.com/-0fIK-pAMsE8/AAAAAAAAAAI/AAAAAAAAAAA/VvsQW0vTFvQ/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCpKvkHxxKsEdCqotizu9_ug,UCpKvkHxxKsEdCqotizu9_ug,o_nfdzMhmrA,"CONGRATUATIONS ON THE 4 RAZZIE NOMINATIONS YOU GOT, SONY! THAT WILL TEACH YOU!","CONGRATUATIONS ON THE 4 RAZZIE NOMINATIONS YOU GOT, SONY! THAT WILL TEACH YOU!",TRUE,none,0,2018-01-26T19:46:23.000Z,2018-01-26T19:46:23.000Z,NA,"CONGRATUATIONS ON THE 4 RAZZIE NOMINATIONS YOU GOT, SONY! THAT WILL TEACH YOU!"
Madison Davila,https://yt3.ggpht.com/-NraRB24geGo/AAAAAAAAAAI/AAAAAAAAAAA/OvS8mQ3aNR4/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCptIrjxSgw_k7YAtS4PC9kA,UCptIrjxSgw_k7YAtS4PC9kA,o_nfdzMhmrA,"Still would rather watch this than the TTG movie, honestly.","Still would rather watch this than the TTG movie, honestly.",TRUE,none,0,2018-01-25T23:45:34.000Z,2018-01-25T23:45:34.000Z,NA,"Still would rather watch this than the TTG movie, honestly."
Zacy Mekail,https://yt3.ggpht.com/-SgUgTkROuxo/AAAAAAAAAAI/AAAAAAAAAAA/T6P3PVEmgf4/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCSo-DRRb3nJn_kjb-c6v3Rw,UCSo-DRRb3nJn_kjb-c6v3Rw,o_nfdzMhmrA,😒✋🏻😀,😒✋🏻😀,TRUE,none,0,2018-01-25T10:22:16.000Z,2018-01-25T10:22:16.000Z,NA,😒✋🏻😀
keowx,https://yt3.ggpht.com/-ND_EwGjTv40/AAAAAAAAAAI/AAAAAAAAAAA/cM5mafA0AG8/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCVXDBTalu-bPzg20X-IFOqA,UCVXDBTalu-bPzg20X-IFOqA,o_nfdzMhmrA,🌯🍱🍥🍚🍿🍪🍹🍼🏸🏓🏵🎗🕴⛹🎨🎰🛫🛬🛰💺🚏🚦🚥⛽️🕌🕍🕋🕹⌚️📱🖱💻⌨🗜🖥📠📽📼🖲📟🎚🕰🎙📻📺📠🎛⏱⏲⏰🕰🔌🔋📡⌛️⏳🔦🕯🗑🛢⚙⛓📿🗝🔭🏺🔮🛡⚔🗡⛓⚙🛠⚒🔨⛏🔩⚖🔧🛎🛍 💌📧🛌🛋🛏🔖🕳🗄📊📈📉📑📃📄📅📆🗓📇🗞🖍✒️🖋🖌🔍🔎📝🔏✂️🕵🏼🎒👓👟,🌯🍱🍥🍚🍿🍪🍹🍼🏸🏓🏵🎗🕴⛹🎨🎰🛫🛬🛰💺🚏🚦🚥⛽️🕌🕍🕋🕹⌚️📱🖱💻⌨🗜🖥📠📽📼🖲📟🎚🕰🎙📻📺📠🎛⏱⏲⏰🕰🔌🔋📡⌛️⏳🔦🕯🗑🛢⚙⛓📿🗝🔭🏺🔮🛡⚔🗡⛓⚙🛠⚒🔨⛏🔩⚖🔧🛎🛍 💌📧🛌🛋🛏🔖🕳🗄📊📈📉📑📃📄📅📆🗓📇🗞🖍✒️🖋🖌🔍🔎📝🔏✂️🕵🏼🎒👓👟,TRUE,none,0,2018-01-25T07:35:34.000Z,2018-01-25T07:35:34.000Z,NA,🌯🍱🍥🍚🍿🍪🍹🍼🏸🏓🏵🎗🕴⛹🎨🎰🛫🛬🛰💺🚏🚦🚥⛽️🕌🕍🕋🕹⌚️📱🖱💻⌨🗜🖥📠📽📼🖲📟🎚🕰🎙📻📺📠🎛⏱⏲⏰🕰🔌🔋📡⌛️⏳🔦🕯🗑🛢⚙⛓📿🗝🔭🏺🔮🛡⚔🗡⛓⚙🛠⚒🔨⛏🔩⚖🔧🛎🛍 💌📧🛌🛋🛏🔖🕳🗄📊📈📉📑📃📄📅📆🗓📇🗞🖍✒️🖋🖌🔍🔎📝🔏✂️🕵🏼🎒👓👟
